"Jahr","Saison","Bern_Mitteltemperatur","Bern_Niederschlagssumme","GrStBernhard_Mitteltemperatur","GrStBernhard_Niederschlagssumme"
1961,"Fruehling(MAM)",9.93333333333333,209.6,-2.03333333333333,387
1961,"Herbst(SON)",10.5,163.1,0.933333333333333,443.3
1961,"Sommer(JJA)",17.0333333333333,370,5.9,408
1961,"Winter(DJF)",2.06666666666667,259.4,-5.1,474.3
1962,"Fruehling(MAM)",7.13333333333333,266.2,-5.7,562.7
1962,"Herbst(SON)",8.56666666666667,86.2,-0.4,546.1
1962,"Sommer(JJA)",17.6333333333333,154.9,6.33333333333333,125.9
1962,"Winter(DJF)",-0.566666666666667,273.2,-8.83333333333333,642
1963,"Fruehling(MAM)",8.23333333333333,211,-3.33333333333333,480.1
1963,"Herbst(SON)",10.3333333333333,232.1,0.8,649
1963,"Sommer(JJA)",17.0666666666667,371.8,5.93333333333333,605.7
1963,"Winter(DJF)",-4.5,145.5,-11.2,365.3
1964,"Fruehling(MAM)",9.2,303.5,-2.2,715.3
1964,"Herbst(SON)",9.2,231.4,-0.0666666666666666,500.7
1964,"Sommer(JJA)",18.3,256.9,6.93333333333333,449.4
1964,"Winter(DJF)",-0.6,64.1,-6.86666666666667,206.8
1965,"Fruehling(MAM)",7.86666666666667,356.4,-4.4,687.2
1965,"Herbst(SON)",8.33333333333333,348.4,-0.466666666666667,731.6
1965,"Sommer(JJA)",16.6,444.3,5.7,527.8
1965,"Winter(DJF)",0.4,222.7,-9.3,630
1966,"Fruehling(MAM)",9.26666666666667,269.8,-2.66666666666667,493
1966,"Herbst(SON)",9.76666666666667,182.2,0.233333333333334,567.8
1966,"Sommer(JJA)",16.8666666666667,333.9,5.93333333333333,313.9
1966,"Winter(DJF)",1.7,281.1,-6.4,811.1
1967,"Fruehling(MAM)",8.7,266.6,-3.16666666666667,639.5
1967,"Herbst(SON)",10,221.1,2.06666666666667,332.7
1967,"Sommer(JJA)",17.9,180,6.9,235.1
1967,"Winter(DJF)",0.333333333333333,184.7,-7.8,452.4
1968,"Fruehling(MAM)",9.03333333333333,218,-2.56666666666667,480.3
1968,"Herbst(SON)",9.46666666666667,265,1.63333333333333,547.4
1968,"Sommer(JJA)",16.5,441.1,5.83333333333333,518
1968,"Winter(DJF)",0.1,226.6,-8.26666666666667,762.3
1969,"Fruehling(MAM)",8.86666666666667,207,-3.06666666666667,631
1969,"Herbst(SON)",10,156.8,1.6,328.2
1969,"Sommer(JJA)",16.6666666666667,365.3,5.73333333333333,647.3
1969,"Winter(DJF)",-1.43333333333333,139.9,-9.63333333333333,469.5
1970,"Fruehling(MAM)",6.76666666666667,271.6,-5.2,664.4
1970,"Herbst(SON)",9.73333333333333,219,2,530.1
1970,"Sommer(JJA)",17.9333333333333,357.8,6.66666666666667,391.5
1970,"Winter(DJF)",-0.0333333333333333,210.7,-8.23333333333333,716.9
1971,"Fruehling(MAM)",8.76666666666667,216.2,-3.36666666666667,584.1
1971,"Herbst(SON)",8.8,191.8,1.16666666666667,343.8
1971,"Sommer(JJA)",17.5666666666667,396.9,7.2,456.1
1971,"Winter(DJF)",-0.566666666666667,93.8,-6.5,330
1972,"Fruehling(MAM)",8.66666666666667,234.2,-3,546
1972,"Herbst(SON)",7.93333333333333,286.7,-0.233333333333333,554.4
1972,"Sommer(JJA)",16.2333333333333,303,5.6,423.6
1972,"Winter(DJF)",0.633333333333333,77.1,-7.2,502.6
1973,"Fruehling(MAM)",7.7,175.1,-4.33333333333333,403.5
1973,"Herbst(SON)",9.06666666666667,206.1,0.8,447.4
1973,"Sommer(JJA)",17.8333333333333,444.3,6.83333333333333,630
1973,"Winter(DJF)",-0.366666666666667,124.8,-8.5,469.2
1974,"Fruehling(MAM)",9.3,199.5,-2.23333333333333,518.4
1974,"Herbst(SON)",7.56666666666667,319,-2.26666666666667,763.6
1974,"Sommer(JJA)",17.0333333333333,259.6,6.96666666666667,430.6
1974,"Winter(DJF)",3.23333333333333,151.3,-5.43333333333333,608
1975,"Fruehling(MAM)",8.2,207.5,-2.5,615.7
1975,"Herbst(SON)",9.36666666666667,275.9,1.46666666666667,644.1
1975,"Sommer(JJA)",17,353.9,7.3,447
1975,"Winter(DJF)",1.5,99,-4.43333333333333,362.6
1976,"Fruehling(MAM)",8.76666666666667,122.9,-1.66666666666667,259.8
1976,"Herbst(SON)",9.33333333333333,203.7,-0.2,865.7
1976,"Sommer(JJA)",18.2666666666667,232.1,7.8,397
1976,"Winter(DJF)",0.466666666666667,166.6,-6.86666666666667,457.2
1977,"Fruehling(MAM)",8.66666666666667,375,-2.26666666666667,757.9
1977,"Herbst(SON)",9.56666666666667,201.6,0.466666666666667,687.4
1977,"Sommer(JJA)",16.4666666666667,424.3,5.6,641.2
1977,"Winter(DJF)",2.06666666666667,283.8,-6.3,724.2
1978,"Fruehling(MAM)",7.2,292.9,-3.4,720.4
1978,"Herbst(SON)",7.56666666666667,111.4,2.16666666666667,164.9
1978,"Sommer(JJA)",15.1333333333333,393.6,5.86666666666667,401.1
1978,"Winter(DJF)",0.3,260.3,-7.36666666666667,971
1979,"Fruehling(MAM)",7.26666666666667,301.3,-3.36666666666667,551.6
1979,"Herbst(SON)",8.76666666666667,275.4,1.43333333333333,671.2
1979,"Sommer(JJA)",16.0666666666667,338.7,7.2,412.7
1979,"Winter(DJF)",0.6,326.2,-7.53333333333333,681.6
1980,"Fruehling(MAM)",6.96666666666667,223.3,-4.23333333333333,487.2
1980,"Herbst(SON)",8.1,303.4,1.66666666666667,619.7
1980,"Sommer(JJA)",15.4666666666667,402.3,5.86666666666667,488.7
1980,"Winter(DJF)",-0.0666666666666667,218.9,-7.56666666666667,606.4
1981,"Fruehling(MAM)",9.3,365.1,-0.633333333333333,778.7
1981,"Herbst(SON)",8.8,325.2,0.2,764.7
1981,"Sommer(JJA)",16.3666666666667,243.6,7.7,475.3
1981,"Winter(DJF)",-1.16666666666667,239.2,-8.8,924.9
1982,"Fruehling(MAM)",7.83333333333333,194,-3.83333333333333,588.8
1982,"Herbst(SON)",9.53333333333333,258.8,0.566666666666667,733.3
1982,"Sommer(JJA)",17.1,490.2,7.16666666666667,337.8
1982,"Winter(DJF)",1.4,234.4,-6.5,638.3
1983,"Fruehling(MAM)",7.76666666666667,308,-3.5,992.9
1983,"Herbst(SON)",8.6,316.7,1.93333333333333,520.2
1983,"Sommer(JJA)",18.6333333333333,156.2,7.43333333333333,244.2
1983,"Winter(DJF)",0.133333333333333,150.4,-6.6,589.6
1984,"Fruehling(MAM)",6.23333333333333,197.1,-5.46666666666667,609.1
1984,"Herbst(SON)",9.3,364.8,0.166666666666667,534.6
1984,"Sommer(JJA)",16.6,227.3,5.5,376.5
1984,"Winter(DJF)",0.266666666666667,195.6,-8.5,772.6
1985,"Fruehling(MAM)",7.7,307.1,-4,687.7
1985,"Herbst(SON)",8.56666666666667,158.1,1.13333333333333,311.9
1985,"Sommer(JJA)",16.8333333333333,281.1,6.6,511.8
1985,"Winter(DJF)",-1.66666666666667,241.4,-7.56666666666667,452.3
1986,"Fruehling(MAM)",7.93333333333333,382.9,-2.86666666666667,905.6
1986,"Herbst(SON)",9.4,167.8,1.7,386.9
1986,"Sommer(JJA)",16.8333333333333,364.8,6.43333333333333,427.2
1986,"Winter(DJF)",-1.1,215.9,-9.53333333333333,1031.5
1987,"Fruehling(MAM)",6.53333333333333,313.7,-4.5,627.8
1987,"Herbst(SON)",10.3666666666667,261.1,1.86666666666667,740.8
1987,"Sommer(JJA)",16.4666666666667,479.8,6.23333333333333,531.8
1987,"Winter(DJF)",-0.566666666666667,180.5,-6.3,600.3
1988,"Fruehling(MAM)",8.63333333333333,325.8,-3.16666666666667,951.5
1988,"Herbst(SON)",8.9,253,1.53333333333333,467
1988,"Sommer(JJA)",16.9666666666667,359,6.83333333333333,316.1
1988,"Winter(DJF)",2.06666666666667,197.9,-6.8,1034.6
1989,"Fruehling(MAM)",9.5,259.5,-2.13333333333333,907.9
1989,"Herbst(SON)",8.53333333333333,144.2,0.8,312.9
1989,"Sommer(JJA)",17,255.9,6.4,351.1
1989,"Winter(DJF)",1.2,101.9,-3.83333333333333,491.9
1990,"Fruehling(MAM)",9.3,261.7,-1.93333333333333,440.3
1990,"Herbst(SON)",9.4,404.2,0.3,604.3
1990,"Sommer(JJA)",17.2333333333333,418.5,7,339.9
1990,"Winter(DJF)",1.5,186.4,-5.93333333333333,757.1
1991,"Fruehling(MAM)",7.83333333333333,191,-3.93333333333333,542.8
1991,"Herbst(SON)",9.2,286.2,0.4,593.7
1991,"Sommer(JJA)",17.7666666666667,254.9,7.53333333333333,317.2
1991,"Winter(DJF)",-0.733333333333333,135.8,-7.36666666666667,558.2
1992,"Fruehling(MAM)",9.4,235.3,-1.9,374.1
1992,"Herbst(SON)",9.33333333333333,374.6,0.333333333333333,857.6
1992,"Sommer(JJA)",18,285.7,7.23333333333333,478.4
1992,"Winter(DJF)",-0.2,146.7,-5.43333333333333,405.7
1993,"Fruehling(MAM)",9.2,219,-2.56666666666667,460.8
1993,"Herbst(SON)",7.5,253.6,-1.66666666666667,640.7
1993,"Sommer(JJA)",17.1333333333333,417.9,6.76666666666667,476.2
1993,"Winter(DJF)",1.73333333333333,150.3,-5.7,650.4
1994,"Fruehling(MAM)",9.6,355.2,-1.73333333333333,720.4
1994,"Herbst(SON)",10.0333333333333,288.7,1.33333333333333,684.2
1994,"Sommer(JJA)",19,226.6,8.43333333333333,373.4
1994,"Winter(DJF)",2.56666666666667,216.8,-6.66666666666667,839.8
1995,"Fruehling(MAM)",8.23333333333333,337,-3.3,1089.7
1995,"Herbst(SON)",9.16666666666667,204.7,0.266666666666667,512.1
1995,"Sommer(JJA)",17.6333333333333,288.2,6.33333333333333,301.1
1995,"Winter(DJF)",1.3,392.1,-7.03333333333333,933.3
1996,"Fruehling(MAM)",8.16666666666667,212.1,-3.03333333333333,382
1996,"Herbst(SON)",8.16666666666667,296.5,-1.13333333333333,1142.2
1996,"Sommer(JJA)",16.9,424.6,6.33333333333333,444.9
1996,"Winter(DJF)",-0.166666666666667,118.5,-7.66666666666667,523.6
1997,"Fruehling(MAM)",9.5,148.1,-1.63333333333333,462.6
1997,"Herbst(SON)",9.46666666666667,187.2,1.7,419.1
1997,"Sommer(JJA)",17.3666666666667,376.6,6.36666666666667,652.1
1997,"Winter(DJF)",1.66666666666667,229.5,-5.8,734.6
1998,"Fruehling(MAM)",9.4,185.6,-2.33333333333333,500.7
